Datetime,男八舍,男一舍,研一男,男七舍,研一女,男五舍,大一女舍,男三舍
2025-01-01 00:00:00,78.29,37.62,111.84,34.48,27.65,23.56,53.44,32.31
2025-01-01 01:00:00,66.63,41.32,90.97,113.49,20.16,24.63,55.19,39.62
2025-01-01 02:00:00,47.53,47.56,91.79,40.78,21.25,26.94,57.87,38.69
2025-01-01 03:00:00,38.85,41.94,75.4,102.7,26.28,20.37,52.69,32.0
2025-01-01 04:00:00,36.42,41.25,105.4,34.11,26.69,19.13,49.62,27.44
2025-01-01 05:00:00,34.86,37.68,80.76,29.83,25.47,20.25,47.57,25.5
2025-01-01 06:00:00,37.91,31.26,81.68,91.94,16.28,20.87,51.37,22.56
2025-01-01 07:00:00,37.56,32.55,83.26,26.38,21.22,13.44,52.06,21.13
2025-01-01 08:00:00,41.52,36.57,93.09,25.27,15.0,13.12,51.25,20.18
2025-01-01 09:00:00,43.82,35.25,82.25,25.0,21.21,14.38,55.32,20.69
2025-01-01 10:00:00,45.85,32.5,78.03,26.19,16.1,18.75,65.75,21.13
2025-01-01 11:00:00,50.67,36.18,59.75,31.58,23.5,19.37,71.62,27.06
2025-01-01 12:00:00,52.5,45.38,80.72,93.88,18.81,20.88,73.38,24.75
2025-01-01 13:00:00,47.49,48.13,72.81,36.14,20.06,20.19,72.18,27.81
2025-01-01 14:00:00,47.35,54.0,68.13,30.52,22.38,23.43,77.75,32.69
2025-01-01 15:00:00,49.77,49.25,70.31,33.87,17.75,24.82,85.32,38.87
2025-01-01 16:00:00,55.55,63.12,71.94,33.61,22.34,32.93,80.81,42.13
2025-01-01 17:00:00,55.78,54.69,82.81,36.65,24.28,29.0,78.0,41.44
2025-01-01 18:00:00,54.5,52.37,73.44,56.51,23.53,24.0,79.31,41.31
2025-01-01 19:00:00,63.23,55.5,73.59,96.83,25.66,28.19,83.88,43.62
2025-01-01 20:00:00,64.54,69.44,132.75,38.16,33.09,26.56,94.75,52.25
2025-01-01 21:00:00,72.47,67.87,131.16,43.95,31.75,32.94,90.37,51.94
2025-01-01 22:00:00,75.61,80.14,137.77,117.84,26.07,35.25,89.81,51.56
2025-01-01 23:00:00,78.64,77.87,108.38,122.43,30.84,30.88,70.19,49.13
2025-01-02 00:00:00,70.14,59.75,141.03,112.99,30.94,28.81,75.06,45.81
2025-01-02 01:00:00,62.59,55.19,102.26,63.57,30.59,27.37,58.5,47.25
