Datetime,-闈場-,文學院,司令台,新月台,新南停車場,新月台揚水及汙水泵用電,性別平等教育委員會,植物病毒研究室,椰林大道路燈前段,雜工班,小小福,舟山路崗亭,第一會議室,停車場路燈,多功能生活廳,振興草坪路燈,水杉道路燈,-辛亥大門-,-水產養殖池-,水源事務組停車場,育成C,教職員工聯誼廳,幼稚園,立體機車停車場總用電,立體機車停車場事務組用電(不含大公),立體機車停車場工科海洋用電(不含大公),立體機車停車場大公共用電,農業試驗場,研一女,研一男,徐州校區國際會議廳
2025-01-01 00:00:00,1.53,22.12,0.89,,,0.33,0.35,2.19,4.21,1.06,10.84,,0.95,4.38,,0.46,0.0,1.02,8.97,0.0,0.0,,1.75,23.81,15.36,5.59,2.86,18.56,27.65,111.84,
2025-01-01 01:00:00,1.47,20.63,0.78,,,0.39,0.36,2.19,4.21,0.92,11.07,,0.87,4.34,,0.45,0.0,0.92,8.88,0.02,0.0,,1.75,23.69,14.35,5.21,4.13,18.19,20.16,90.97,
2025-01-01 02:00:00,1.62,20.65,0.81,,,0.2,0.35,2.19,4.21,0.92,11.72,,0.96,4.35,,0.46,0.0,1.03,8.93,,0.0,,1.85,23.75,15.49,5.61,2.65,15.53,21.25,91.79,
2025-01-01 03:00:00,1.75,21.28,0.83,,,0.23,0.36,2.22,4.21,0.83,11.09,,0.86,4.34,,0.46,0.0,1.01,9.07,0.01,0.0,,1.44,23.62,15.29,5.41,2.92,16.77,26.28,75.4,
2025-01-01 04:00:00,1.57,20.69,0.81,,,0.38,0.36,2.25,4.21,0.89,10.76,,0.91,4.34,,0.46,0.0,0.99,9.27,0.0,0.0,,1.75,23.44,14.38,5.0,4.06,17.55,26.69,105.4,
2025-01-01 05:00:00,1.53,20.78,0.82,,,0.22,0.36,2.28,4.17,0.99,11.18,,1.02,4.13,,0.46,0.0,0.99,9.41,0.01,0.0,,2.06,23.56,15.37,5.38,2.81,18.18,25.47,80.76,
2025-01-01 06:00:00,1.53,19.44,0.79,,,0.53,0.32,2.18,0.27,1.58,11.1,,1.09,3.94,,0.0,0.0,0.56,9.18,0.0,0.0,,1.81,24.0,15.8,5.49,2.71,16.1,16.28,81.68,
2025-01-01 07:00:00,1.78,22.06,0.77,,,0.58,0.07,2.25,0.0,0.84,11.28,,0.95,1.03,,0.0,0.0,0.48,9.02,0.0,0.0,,1.66,24.06,15.11,5.48,3.47,17.0,21.22,83.26,
2025-01-01 08:00:00,1.54,21.1,0.72,,,0.34,0.08,2.19,0.0,0.62,10.69,,0.93,1.06,,0.0,0.0,0.56,9.03,0.0,0.0,,1.59,24.0,15.61,5.09,3.3,16.28,15.0,93.09,
2025-01-01 09:00:00,1.46,22.0,0.75,,,0.41,0.07,2.22,0.0,0.94,10.43,,0.92,1.03,,0.0,0.0,0.59,8.89,0.0,0.0,,1.34,24.0,15.92,5.44,2.64,18.03,21.21,82.25,
2025-01-01 10:00:00,1.47,22.46,0.73,,,0.21,0.07,2.28,0.0,1.04,11.31,,0.88,1.06,,0.0,0.0,0.49,8.4,0.0,0.0,,1.66,24.0,15.35,5.38,3.27,14.84,16.1,78.03,
2025-01-01 11:00:00,1.62,22.44,0.74,,,0.4,0.07,2.38,0.0,0.88,11.19,,0.91,1.04,,0.0,0.0,0.49,8.35,0.0,0.0,,1.56,24.44,16.14,4.94,3.36,16.1,23.5,59.75,
2025-01-01 12:00:00,1.47,22.75,0.7,,,0.4,0.07,2.34,0.0,0.62,10.75,,0.88,1.03,,0.0,0.0,0.53,8.63,0.0,0.0,,1.91,23.5,15.73,5.32,2.45,39.86,18.81,80.72,
2025-01-01 13:00:00,1.41,22.28,0.72,,,0.85,0.07,2.41,0.0,1.62,10.4,,0.93,1.03,,0.0,0.0,0.52,8.45,0.0,0.0,,1.59,23.38,15.48,5.35,2.55,34.61,20.06,72.81,
