Datetime,女八九舍(含女九餐廳),女五舍,女一舍,女三舍,女二舍,鹿鳴雅舍,國青舍（研三舍）,男一舍,男一舍外大餐廳,男三舍,男五舍,男八舍,大一女舍
2025-01-01 00:00:00,34.81,8.43,20.74,22.47,23.81,,68.31,37.62,27.0,32.31,23.56,78.29,53.44
2025-01-01 01:00:00,43.47,8.75,20.88,22.71,24.65,,67.87,41.32,20.62,39.62,24.63,66.63,55.19
2025-01-01 02:00:00,45.32,11.0,22.19,21.91,25.72,,66.88,47.56,20.57,38.69,26.94,47.53,57.87
2025-01-01 03:00:00,37.75,8.38,21.26,18.45,49.06,,62.81,41.94,19.87,32.0,20.37,38.85,52.69
2025-01-01 04:00:00,35.43,6.94,16.84,17.27,78.81,,55.38,41.25,19.25,27.44,19.13,36.42,49.62
2025-01-01 05:00:00,33.25,6.12,20.28,16.25,116.17,,54.0,37.68,19.19,25.5,20.25,34.86,47.57
2025-01-01 06:00:00,31.88,5.13,12.96,15.39,40.52,,51.12,31.26,23.06,22.56,20.87,37.91,51.37
2025-01-01 07:00:00,34.78,5.12,12.43,13.84,20.13,,44.06,32.55,30.38,21.13,13.44,37.56,52.06
2025-01-01 08:00:00,34.96,4.94,12.56,20.53,19.72,,42.63,36.57,31.43,20.18,13.12,41.52,51.25
2025-01-01 09:00:00,32.85,5.75,12.63,17.97,19.47,,50.31,35.25,33.75,20.69,14.38,43.82,55.32
2025-01-01 10:00:00,42.06,7.25,16.53,22.12,37.93,,61.63,32.5,37.19,21.13,18.75,45.85,65.75
2025-01-01 11:00:00,43.01,11.12,14.05,16.48,55.26,,65.68,36.18,38.88,27.06,19.37,50.67,71.62
2025-01-01 12:00:00,39.49,7.63,18.74,15.79,57.5,,80.94,45.38,36.25,24.75,20.88,52.5,73.38
2025-01-01 13:00:00,40.85,8.31,18.36,16.48,27.71,,76.44,48.13,32.18,27.81,20.19,47.49,72.18
2025-01-01 14:00:00,41.75,12.44,19.04,19.11,24.63,,79.44,54.0,24.88,32.69,23.43,47.35,77.75
2025-01-01 15:00:00,40.91,13.06,21.24,21.3,28.59,,77.87,49.25,25.12,38.87,24.82,49.77,85.32
2025-01-01 16:00:00,37.15,8.56,22.15,21.38,57.38,,81.13,63.12,25.63,42.13,32.93,55.55,80.81
2025-01-01 17:00:00,41.65,9.57,23.78,24.63,62.66,,81.12,54.69,30.25,41.44,29.0,55.78,78.0
2025-01-01 18:00:00,44.98,10.0,25.42,23.85,33.06,,85.69,52.37,34.44,41.31,24.0,54.5,79.31
2025-01-01 19:00:00,47.87,9.93,23.42,29.67,33.15,,87.37,55.5,33.06,43.62,28.19,63.23,83.88
2025-01-01 20:00:00,49.84,10.69,23.44,32.28,86.91,,92.07,69.44,31.44,52.25,26.56,64.54,94.75
2025-01-01 21:00:00,55.97,15.25,30.42,32.67,129.18,,100.25,67.87,32.75,51.94,32.94,72.47,90.37
2025-01-01 22:00:00,65.41,17.06,27.73,29.86,50.1,,99.0,80.14,30.68,51.56,35.25,75.61,89.81
2025-01-01 23:00:00,60.87,12.57,27.0,30.66,61.46,,96.43,77.87,34.0,49.13,30.88,78.64,70.19
2025-01-02 00:00:00,54.0,14.43,26.99,26.16,139.25,,94.25,59.75,27.25,45.81,28.81,70.14,75.06
2025-01-02 01:00:00,47.44,12.0,26.64,22.52,58.16,,76.19,55.19,21.75,47.25,27.37,62.59,58.5
2025-01-02 02:00:00,42.44,10.57,27.63,29.02,30.22,,63.13,43.31,20.69,39.75,26.44,49.18,48.94
2025-01-02 03:00:00,42.4,8.62,17.83,24.27,22.47,,60.81,42.44,20.31,36.56,24.94,39.49,49.0
2025-01-02 04:00:00,36.79,6.88,21.27,16.45,22.97,,50.87,38.43,20.88,27.13,16.06,38.55,49.44
2025-01-02 05:00:00,32.72,6.12,16.37,16.03,51.66,,50.0,33.25,19.75,22.25,16.0,37.31,44.87
