Datetime,校史館,舊總圖,農化二館暨行政大樓,大門口警衛室,職涯中心,學生心理輔導中心,行政大樓教務處資訊室,保管組倉庫,行政大樓前棟,行政大樓後棟,教學二期大樓(不含圖書館書庫),圖書館書庫,鄭江樓南棟6樓保管組(不含公共),鄭江樓南棟7樓保管組(不含公共),計資中心,行政大樓(水源),水源校區總圖(飲水樓),禮賢樓1樓銀行專用迴路,環安衛中心,浩翰樓華南銀行,華南銀行司機室,明達2F保管組場地,法學院社科圖書館
2025-01-01 00:00:00,5.43,9.79,27.81,1.57,0.1,0.06,16.4,,3.51,28.49,17.89,87.99,1.6,3.5,348.81,9.65,14.06,2.4,16.98,3.03,0.51,4.93,0.19
2025-01-01 01:00:00,4.79,9.72,27.44,1.58,0.09,0.05,16.62,,3.45,28.6,18.11,86.43,1.59,3.47,349.75,7.85,13.78,2.39,16.2,3.09,0.38,4.74,0.18
2025-01-01 02:00:00,4.11,10.18,26.87,1.57,0.12,0.05,16.5,,3.55,28.59,17.87,87.02,1.58,3.47,350.32,7.56,13.31,2.38,16.44,2.99,0.44,4.91,0.19
2025-01-01 03:00:00,3.92,9.82,27.07,1.54,0.11,0.05,16.6,,3.63,28.65,18.21,86.99,1.0,3.44,348.18,7.66,14.38,2.36,16.05,2.95,0.47,4.86,0.22
2025-01-01 04:00:00,3.91,9.13,26.59,1.6,0.09,0.06,16.65,,3.39,28.53,22.16,78.29,0.98,3.43,351.07,7.37,15.34,1.79,16.39,2.94,0.45,4.79,0.63
2025-01-01 05:00:00,4.94,9.72,26.94,1.58,0.1,0.04,16.53,,3.19,27.19,20.99,68.22,1.03,3.93,351.0,7.54,15.56,1.81,16.68,2.93,0.42,5.65,1.03
2025-01-01 06:00:00,4.11,9.82,26.62,1.07,0.09,0.05,16.52,,2.65,25.3,19.08,70.65,0.94,3.44,349.5,7.59,13.41,1.9,15.67,2.97,0.45,5.56,0.28
2025-01-01 07:00:00,3.94,9.38,26.81,0.58,0.09,0.05,16.68,,2.79,24.94,19.22,70.81,1.65,3.61,349.43,6.21,14.03,1.91,15.97,2.88,0.46,4.86,0.19
2025-01-01 08:00:00,4.07,9.15,27.57,0.63,0.07,0.04,16.55,,2.8,25.88,21.14,70.61,2.08,4.12,345.82,6.29,13.06,2.31,15.74,2.89,0.51,4.8,0.71
2025-01-01 09:00:00,4.9,9.03,28.65,0.63,0.06,0.04,16.43,,2.62,25.81,21.39,67.04,2.93,4.8,344.31,6.12,12.47,2.37,15.7,2.89,0.38,4.68,0.47
2025-01-01 10:00:00,4.16,9.35,28.53,0.65,0.09,0.04,16.52,,2.8,25.74,21.22,70.4,3.22,4.7,344.12,6.16,12.94,2.38,16.04,2.91,0.51,4.52,0.35
2025-01-01 11:00:00,4.84,9.59,28.88,0.6,0.07,0.03,16.5,,2.65,25.99,20.58,70.63,3.44,5.28,342.69,6.88,13.09,2.36,15.89,4.71,0.42,4.56,0.37
2025-01-01 12:00:00,4.09,10.52,29.37,0.62,0.07,0.06,16.47,,2.91,26.68,20.55,70.88,3.28,6.39,342.13,6.24,15.0,1.76,16.26,6.57,0.54,4.67,0.25
2025-01-01 13:00:00,4.88,15.63,29.47,0.65,0.09,0.05,16.54,,3.63,26.5,20.91,70.66,3.41,7.59,342.43,6.5,13.0,1.87,16.49,6.45,0.37,4.5,0.19
2025-01-01 14:00:00,5.04,10.46,30.38,0.63,0.07,0.05,16.44,,3.78,26.39,21.62,70.76,3.41,7.81,347.69,9.06,16.25,1.88,15.97,6.48,0.5,4.72,0.25
2025-01-01 15:00:00,4.24,10.44,30.75,0.62,0.09,0.05,16.35,,3.58,26.58,20.93,70.92,3.55,9.54,346.88,10.54,15.16,1.91,15.82,6.5,0.38,4.95,0.19
2025-01-01 16:00:00,4.76,10.94,30.5,0.74,0.1,0.05,16.46,,4.29,27.28,19.76,70.6,3.64,9.16,344.43,10.18,19.0,2.33,15.87,6.6,0.45,5.08,0.18
2025-01-01 17:00:00,5.04,10.37,30.25,1.54,0.09,0.06,16.44,,4.97,29.71,18.96,69.88,2.33,8.45,347.63,10.5,19.78,2.35,16.02,3.0,0.42,5.09,0.19
2025-01-01 18:00:00,4.15,10.5,29.84,1.59,0.13,0.04,16.54,,4.91,29.95,19.43,67.78,2.16,7.96,348.75,10.07,20.38,2.33,16.47,3.03,0.45,4.96,0.16
2025-01-01 19:00:00,4.99,10.69,29.0,1.5,0.08,0.05,16.46,,3.99,30.57,18.78,68.22,1.03,8.27,347.25,11.12,21.47,2.36,16.49,3.01,0.5,4.9,0.34
2025-01-01 20:00:00,4.89,10.88,28.5,1.58,0.11,0.06,16.5,,3.85,29.61,21.83,67.65,0.94,11.4,349.5,10.94,15.71,1.77,16.68,3.0,0.43,4.83,0.22
2025-01-01 21:00:00,4.17,11.54,28.06,1.57,0.11,0.05,16.46,,3.95,29.74,23.75,67.73,1.96,9.24,349.19,9.6,14.44,1.84,16.36,2.99,0.45,4.81,0.19
2025-01-01 22:00:00,5.0,10.23,26.63,1.58,0.09,0.05,16.49,,4.65,29.32,18.17,67.78,1.63,9.3,351.12,8.68,14.1,1.89,17.26,2.98,0.55,4.94,0.15
2025-01-01 23:00:00,5.0,10.26,27.09,1.54,0.11,0.04,16.57,,3.41,29.4,18.26,68.22,1.4,8.07,348.81,8.32,14.4,1.91,16.24,2.97,0.39,4.84,0.19
2025-01-02 00:00:00,4.16,10.26,27.32,1.56,0.1,0.05,16.56,,4.04,29.89,17.39,68.31,1.38,7.15,350.5,8.9,14.85,2.38,15.96,2.86,0.53,4.99,0.19
2025-01-02 01:00:00,5.01,9.91,26.87,1.58,0.1,0.05,16.55,,3.96,30.67,18.61,68.07,1.43,6.85,351.63,8.56,17.12,2.34,16.29,2.91,0.36,4.59,0.19
2025-01-02 02:00:00,4.32,10.51,26.75,1.61,0.1,0.05,16.67,,4.09,30.25,17.86,68.08,1.41,6.74,354.12,8.16,16.06,2.34,16.28,2.87,0.42,4.66,0.15
