Datetime,游泳池,舊體育館,新南球場,紅土網球場
2025-01-01 00:00:00,22.53,5.6,0.74,0.0
2025-01-01 01:00:00,16.44,6.43,0.73,0.0
2025-01-01 02:00:00,13.61,6.77,0.67,0.0
2025-01-01 03:00:00,13.42,6.08,0.85,0.0
2025-01-01 04:00:00,17.6,7.52,0.96,0.0
2025-01-01 05:00:00,22.86,11.08,0.91,0.0
2025-01-01 06:00:00,14.05,7.64,0.86,0.0
2025-01-01 07:00:00,12.23,6.64,0.92,0.0
2025-01-01 08:00:00,12.98,6.84,0.95,0.0
2025-01-01 09:00:00,12.26,6.49,0.94,0.0
2025-01-01 10:00:00,21.31,6.5,0.85,0.0
2025-01-01 11:00:00,17.82,6.55,0.53,0.0
2025-01-01 12:00:00,12.44,7.69,0.77,0.0
2025-01-01 13:00:00,12.29,7.96,0.75,0.0
2025-01-01 14:00:00,13.08,6.54,1.07,0.0
2025-01-01 15:00:00,19.97,7.85,0.87,0.0
2025-01-01 16:00:00,23.69,6.49,0.8,0.0
2025-01-01 17:00:00,15.07,11.25,4.59,0.0
2025-01-01 18:00:00,13.98,12.45,0.8,0.0
2025-01-01 19:00:00,14.81,6.51,0.66,0.0
2025-01-01 20:00:00,14.26,5.8,0.67,0.0
2025-01-01 21:00:00,19.34,5.6,0.74,0.0
2025-01-01 22:00:00,23.69,5.43,0.62,0.0
2025-01-01 23:00:00,14.98,5.71,0.78,0.0
2025-01-02 00:00:00,13.62,5.63,0.73,0.0
2025-01-02 01:00:00,13.95,6.17,0.8,0.0
2025-01-02 02:00:00,20.65,7.23,0.74,0.0
2025-01-02 03:00:00,21.44,6.75,0.76,0.0
2025-01-02 04:00:00,14.22,8.28,0.92,0.0
2025-01-02 05:00:00,14.81,12.06,0.66,0.0
2025-01-02 06:00:00,17.8,10.2,0.83,0.0
2025-01-02 07:00:00,27.96,9.48,1.04,0.0
2025-01-02 08:00:00,28.44,9.18,0.71,0.0
2025-01-02 09:00:00,28.06,9.82,0.67,0.0
2025-01-02 10:00:00,28.42,9.27,0.63,0.0
2025-01-02 11:00:00,20.83,9.54,0.48,0.0
2025-01-02 12:00:00,24.63,19.18,0.91,0.0
2025-01-02 13:00:00,23.6,24.03,0.81,0.0
2025-01-02 14:00:00,25.26,27.18,0.68,0.0
2025-01-02 15:00:00,15.87,25.06,1.16,0.0
2025-01-02 16:00:00,16.16,23.84,0.83,0.0
2025-01-02 17:00:00,35.11,32.52,46.09,5.23
2025-01-02 18:00:00,31.59,34.47,46.96,5.44
2025-01-02 19:00:00,28.78,33.1,29.74,5.47
2025-01-02 20:00:00,30.42,32.14,59.82,5.48
2025-01-02 21:00:00,35.18,27.19,68.68,5.46
2025-01-02 22:00:00,13.84,8.79,1.76,0.68
2025-01-02 23:00:00,13.51,5.74,0.68,0.0
2025-01-03 00:00:00,13.63,5.87,0.87,0.0
2025-01-03 01:00:00,16.81,6.38,0.7,0.0
2025-01-03 02:00:00,22.79,6.39,0.81,0.0
2025-01-03 03:00:00,16.45,6.18,0.69,0.0
2025-01-03 04:00:00,14.18,6.94,0.98,0.0
2025-01-03 05:00:00,13.37,12.45,0.77,0.0
2025-01-03 06:00:00,17.26,10.61,0.86,0.0
2025-01-03 07:00:00,26.26,9.93,0.88,0.0
2025-01-03 08:00:00,27.85,11.71,0.84,0.0
2025-01-03 09:00:00,27.87,16.01,0.66,0.0
2025-01-03 10:00:00,27.24,20.44,0.81,0.0
2025-01-03 11:00:00,27.71,21.73,0.5,0.0
2025-01-03 12:00:00,27.72,22.66,0.71,0.0
2025-01-03 13:00:00,27.52,19.04,0.69,0.0
2025-01-03 14:00:00,26.4,22.72,0.81,0.0
