Datetime,男七舍,男六舍
2025-01-01 00:00:00,34.48,2.39
2025-01-01 01:00:00,113.49,16.5
2025-01-01 02:00:00,40.78,35.53
2025-01-01 03:00:00,102.7,34.03
2025-01-01 04:00:00,34.11,33.26
2025-01-01 05:00:00,29.83,25.46
2025-01-01 06:00:00,91.94,21.59
2025-01-01 07:00:00,26.38,17.06
2025-01-01 08:00:00,25.27,14.67
2025-01-01 09:00:00,25.0,12.05
2025-01-01 10:00:00,26.19,14.72
2025-01-01 11:00:00,31.58,10.26
2025-01-01 12:00:00,93.88,18.07
2025-01-01 13:00:00,36.14,27.57
2025-01-01 14:00:00,30.52,34.84
2025-01-01 15:00:00,33.87,34.41
2025-01-01 16:00:00,33.61,34.7
2025-01-01 17:00:00,36.65,36.54
2025-01-01 18:00:00,56.51,41.31
2025-01-01 19:00:00,96.83,30.96
2025-01-01 20:00:00,38.16,34.89
2025-01-01 21:00:00,43.95,41.47
2025-01-01 22:00:00,117.84,42.58
2025-01-01 23:00:00,122.43,49.98
2025-01-02 00:00:00,112.99,47.55
2025-01-02 01:00:00,63.57,38.1
2025-01-02 02:00:00,84.93,36.07
2025-01-02 03:00:00,29.7,39.88
2025-01-02 04:00:00,37.98,26.95
2025-01-02 05:00:00,86.63,22.13
2025-01-02 06:00:00,23.22,20.16
2025-01-02 07:00:00,23.64,20.92
2025-01-02 08:00:00,26.17,22.68
2025-01-02 09:00:00,27.86,18.38
2025-01-02 10:00:00,29.23,20.83
2025-01-02 11:00:00,29.46,20.48
2025-01-02 12:00:00,38.82,18.49
2025-01-02 13:00:00,31.9,26.63
2025-01-02 14:00:00,99.83,34.09
2025-01-02 15:00:00,32.92,31.57
2025-01-02 16:00:00,36.07,28.69
2025-01-02 17:00:00,41.25,29.27
2025-01-02 18:00:00,37.04,33.23
2025-01-02 19:00:00,39.83,29.31
2025-01-02 20:00:00,108.21,27.66
2025-01-02 21:00:00,45.08,35.18
2025-01-02 22:00:00,82.52,40.27
2025-01-02 23:00:00,102.1,30.63
2025-01-03 00:00:00,99.15,27.3
2025-01-03 01:00:00,101.91,29.98
2025-01-03 02:00:00,69.06,40.09
2025-01-03 03:00:00,62.38,21.29
2025-01-03 04:00:00,23.65,28.49
2025-01-03 05:00:00,24.96,29.03
2025-01-03 06:00:00,22.22,23.07
2025-01-03 07:00:00,59.81,22.93
2025-01-03 08:00:00,57.87,22.31
2025-01-03 09:00:00,25.18,24.58
2025-01-03 10:00:00,25.68,18.34
2025-01-03 11:00:00,29.96,24.35
2025-01-03 12:00:00,30.57,27.99
2025-01-03 13:00:00,28.66,29.73
2025-01-03 14:00:00,28.42,30.12
2025-01-03 15:00:00,34.46,33.62
2025-01-03 16:00:00,65.23,21.81
2025-01-03 17:00:00,99.31,33.01
2025-01-03 18:00:00,34.8,29.23
2025-01-03 19:00:00,37.14,33.12
2025-01-03 20:00:00,37.05,42.15
2025-01-03 21:00:00,46.22,39.77
2025-01-03 22:00:00,112.5,43.68
2025-01-03 23:00:00,67.06,51.77
2025-01-04 00:00:00,99.95,48.69
2025-01-04 01:00:00,98.61,44.52
