Datetime,一號館,展書樓,地質系,園藝系造園館,精密溫室,昆蟲館
2025-01-01 00:00:00,76.51,65.17,98.29,6.16,11.06,14.75
2025-01-01 01:00:00,77.8,64.45,97.82,5.84,10.15,14.34
2025-01-01 02:00:00,76.76,64.05,98.42,5.81,10.65,14.29
2025-01-01 03:00:00,76.75,62.81,97.98,5.75,10.9,14.0
2025-01-01 04:00:00,76.58,64.21,97.76,6.16,11.51,14.56
2025-01-01 05:00:00,77.56,63.76,98.28,5.87,11.29,14.06
2025-01-01 06:00:00,80.04,64.55,97.47,5.85,10.69,14.47
2025-01-01 07:00:00,78.42,63.17,97.89,5.68,10.84,14.03
2025-01-01 08:00:00,80.9,63.27,97.56,5.82,8.84,14.09
2025-01-01 09:00:00,81.54,63.86,97.49,5.68,8.78,14.04
2025-01-01 10:00:00,82.49,65.89,98.03,5.38,7.56,14.25
2025-01-01 11:00:00,82.46,67.2,98.43,5.31,8.2,14.21
2025-01-01 12:00:00,83.75,68.19,98.37,5.28,10.97,16.38
2025-01-01 13:00:00,83.88,67.26,97.21,5.66,8.95,14.69
2025-01-01 14:00:00,84.81,70.32,97.16,5.47,10.93,15.09
2025-01-01 15:00:00,84.9,70.76,99.26,6.03,12.12,14.97
2025-01-01 16:00:00,85.9,72.53,99.57,6.41,12.25,15.12
2025-01-01 17:00:00,88.33,72.36,99.22,8.15,12.45,14.97
2025-01-01 18:00:00,86.32,71.71,100.87,9.63,11.31,14.82
2025-01-01 19:00:00,85.59,70.62,100.1,7.84,13.64,14.56
2025-01-01 20:00:00,83.12,71.7,99.35,7.69,13.18,14.25
2025-01-01 21:00:00,80.47,71.08,99.64,7.81,12.35,14.25
2025-01-01 22:00:00,79.29,71.74,99.24,7.16,12.6,14.22
2025-01-01 23:00:00,78.9,69.82,98.77,6.37,10.47,14.4
2025-01-02 00:00:00,78.27,71.38,100.33,6.16,11.94,14.69
2025-01-02 01:00:00,79.03,67.95,99.77,6.06,11.27,14.41
2025-01-02 02:00:00,79.41,65.38,100.62,6.38,11.57,14.03
2025-01-02 03:00:00,78.54,65.33,101.09,6.15,11.22,14.4
2025-01-02 04:00:00,78.32,65.04,97.92,6.13,11.56,14.6
2025-01-02 05:00:00,78.83,64.35,98.46,5.9,11.42,14.06
2025-01-02 06:00:00,78.8,65.46,97.35,5.88,11.25,14.16
2025-01-02 07:00:00,79.82,71.18,97.84,5.94,10.98,14.47
2025-01-02 08:00:00,87.0,75.09,105.63,7.62,9.8,14.46
2025-01-02 09:00:00,90.8,82.16,118.94,9.88,10.11,15.19
2025-01-02 10:00:00,96.5,91.14,123.93,9.78,4.78,17.91
2025-01-02 11:00:00,94.32,90.18,124.26,9.75,6.69,17.15
2025-01-02 12:00:00,97.74,91.24,123.81,9.87,7.45,17.82
2025-01-02 13:00:00,95.21,88.64,125.03,10.19,6.76,17.84
2025-01-02 14:00:00,96.75,89.81,124.1,10.69,6.93,17.78
2025-01-02 15:00:00,100.66,89.92,124.89,11.31,9.19,17.91
2025-01-02 16:00:00,97.63,88.94,125.02,10.62,11.1,18.25
2025-01-02 17:00:00,91.66,82.83,118.0,10.69,11.16,16.15
2025-01-02 18:00:00,93.38,76.41,110.99,9.41,14.27,15.63
2025-01-02 19:00:00,89.17,71.32,111.29,9.12,14.54,14.62
2025-01-02 20:00:00,83.84,70.41,108.16,8.78,16.47,14.85
2025-01-02 21:00:00,82.12,67.89,106.35,8.5,13.58,14.34
2025-01-02 22:00:00,80.32,67.67,107.07,7.32,12.73,14.38
2025-01-02 23:00:00,79.23,65.21,106.11,6.9,11.18,14.43
2025-01-03 00:00:00,77.34,62.53,104.56,6.32,12.28,14.82
2025-01-03 01:00:00,77.4,62.51,105.63,6.56,11.65,14.03
2025-01-03 02:00:00,76.97,61.82,103.08,6.0,11.39,14.37
2025-01-03 03:00:00,76.56,61.39,103.39,6.03,10.65,13.97
2025-01-03 04:00:00,77.5,61.18,102.7,6.0,11.93,14.47
2025-01-03 05:00:00,76.85,60.74,102.49,5.97,11.95,13.75
2025-01-03 06:00:00,80.29,62.01,101.83,5.94,10.21,13.97
2025-01-03 07:00:00,82.47,68.13,102.81,5.68,10.55,14.06
2025-01-03 08:00:00,84.62,76.98,112.56,8.28,10.32,14.44
2025-01-03 09:00:00,88.75,85.38,120.67,10.13,9.46,14.5
2025-01-03 10:00:00,89.73,92.08,127.25,11.87,8.2,15.87
2025-01-03 11:00:00,93.19,96.43,125.2,11.72,8.75,15.94
2025-01-03 12:00:00,92.65,93.21,126.87,12.38,12.68,16.6
2025-01-03 13:00:00,94.58,93.22,126.53,10.84,17.1,16.37
2025-01-03 14:00:00,96.92,92.17,127.52,9.91,17.55,16.41
2025-01-03 15:00:00,97.45,89.58,129.35,10.06,16.2,18.43
2025-01-03 16:00:00,92.82,86.79,125.84,10.25,17.9,17.29
2025-01-03 17:00:00,95.1,83.05,121.11,10.13,17.29,17.03
2025-01-03 18:00:00,93.56,75.36,114.21,9.81,17.51,15.97
2025-01-03 19:00:00,90.76,70.28,109.76,10.09,16.92,16.03
2025-01-03 20:00:00,87.73,69.42,109.58,9.72,10.37,15.62
2025-01-03 21:00:00,84.21,68.83,108.53,9.09,11.32,15.22
2025-01-03 22:00:00,82.49,67.7,108.01,7.19,11.92,15.22
2025-01-03 23:00:00,79.36,66.38,106.64,6.31,12.04,14.69
2025-01-04 00:00:00,77.83,64.53,106.76,6.25,11.39,14.93
2025-01-04 01:00:00,77.09,61.84,105.49,6.29,11.4,14.6
2025-01-04 02:00:00,76.81,60.8,105.64,6.28,10.69,14.37
2025-01-04 03:00:00,76.86,59.78,106.05,6.31,10.5,14.41
2025-01-04 04:00:00,75.89,59.58,106.24,6.41,11.4,15.03
2025-01-04 05:00:00,76.67,59.72,105.26,6.15,10.45,14.31
2025-01-04 06:00:00,78.1,59.87,104.62,5.75,10.2,14.44
2025-01-04 07:00:00,78.07,58.36,101.32,6.1,10.33,14.88
2025-01-04 08:00:00,81.58,58.77,99.84,5.56,10.46,14.78
2025-01-04 09:00:00,83.1,63.65,101.32,5.56,10.12,14.37
2025-01-04 10:00:00,85.88,66.75,103.07,5.59,9.47,14.66
2025-01-04 11:00:00,90.76,66.94,103.29,5.47,10.52,14.9
2025-01-04 12:00:00,86.74,65.35,103.76,5.75,11.45,15.57
2025-01-04 13:00:00,85.15,65.14,106.46,5.85,11.68,15.37
2025-01-04 14:00:00,87.03,66.28,107.99,6.06,12.32,15.5
2025-01-04 15:00:00,88.98,68.18,108.17,6.06,10.23,15.28
2025-01-04 16:00:00,86.5,68.83,103.89,6.25,11.41,14.88
2025-01-04 17:00:00,90.82,68.89,104.63,6.13,12.93,14.59
2025-01-04 18:00:00,86.63,69.46,104.11,5.72,11.84,14.66
2025-01-04 19:00:00,85.22,67.97,102.25,5.43,10.85,14.4
2025-01-04 20:00:00,84.32,64.76,102.47,5.66,9.89,14.5
2025-01-04 21:00:00,81.46,63.45,102.62,5.44,10.53,14.47
2025-01-04 22:00:00,78.72,64.91,102.15,5.34,10.1,14.57
2025-01-04 23:00:00,79.63,63.02,102.3,5.44,10.3,14.65
2025-01-05 00:00:00,78.1,65.14,102.78,5.37,12.1,14.97
2025-01-05 01:00:00,77.58,65.37,102.68,5.57,11.55,14.69
2025-01-05 02:00:00,78.25,62.66,102.21,5.28,10.56,14.34
2025-01-05 03:00:00,77.92,61.64,102.16,5.34,10.78,14.63
2025-01-05 04:00:00,77.22,61.37,102.72,5.31,10.39,14.62
2025-01-05 05:00:00,77.12,61.47,101.82,5.5,10.32,14.44
2025-01-05 06:00:00,78.75,61.28,100.41,5.32,10.32,14.19
2025-01-05 07:00:00,79.22,61.24,101.48,5.37,10.6,14.47
2025-01-05 08:00:00,81.58,61.75,101.77,5.34,11.08,14.34
2025-01-05 09:00:00,81.38,61.79,104.6,5.25,13.02,14.06
2025-01-05 10:00:00,83.56,62.49,108.4,5.41,13.23,14.94
2025-01-05 11:00:00,84.19,64.5,114.15,5.47,14.29,15.91
2025-01-05 12:00:00,87.42,64.78,114.77,5.31,13.47,16.09
2025-01-05 13:00:00,86.33,65.59,109.01,6.5,11.23,15.66
2025-01-05 14:00:00,85.77,66.05,104.56,7.78,10.55,15.87
2025-01-05 15:00:00,92.08,68.69,103.97,7.53,10.58,15.97
2025-01-05 16:00:00,89.98,68.78,103.99,7.69,10.12,15.44
2025-01-05 17:00:00,86.93,68.11,104.57,7.69,11.7,14.43
2025-01-05 18:00:00,86.02,68.11,103.32,8.03,12.31,14.57
2025-01-05 19:00:00,84.43,67.55,102.24,6.88,13.37,14.56
2025-01-05 20:00:00,83.34,67.29,102.84,6.65,13.55,14.59
2025-01-05 21:00:00,82.46,67.17,101.91,6.69,12.8,14.41
2025-01-05 22:00:00,81.46,66.82,101.87,6.78,12.47,14.78
2025-01-05 23:00:00,79.08,65.81,101.45,6.5,12.16,14.72
2025-01-06 00:00:00,78.98,68.0,101.57,6.75,11.93,14.69
2025-01-06 01:00:00,79.25,65.78,101.27,6.69,11.77,15.34
2025-01-06 02:00:00,79.17,64.66,101.71,6.75,12.48,14.19
2025-01-06 03:00:00,78.45,64.5,101.16,6.62,12.04,14.69
2025-01-06 04:00:00,78.86,64.18,99.65,6.66,13.49,14.31
2025-01-06 05:00:00,77.55,63.16,100.14,6.87,12.41,14.44
2025-01-06 06:00:00,78.78,64.41,98.25,6.66,11.28,14.03
2025-01-06 07:00:00,79.4,72.81,99.76,6.63,12.42,14.72
2025-01-06 08:00:00,86.0,79.67,109.0,8.06,11.51,14.59
2025-01-06 09:00:00,88.51,85.24,118.17,9.56,10.66,15.72
2025-01-06 10:00:00,90.45,87.54,127.41,9.72,12.28,15.84
2025-01-06 11:00:00,94.45,88.11,131.89,9.94,11.29,16.75
2025-01-06 12:00:00,99.26,89.28,130.8,9.59,14.35,16.13
2025-01-06 13:00:00,96.13,93.44,129.19,10.16,12.14,16.59
2025-01-06 14:00:00,100.82,93.69,128.7,10.4,16.5,17.09
2025-01-06 15:00:00,97.33,93.09,130.73,9.88,15.59,17.22
2025-01-06 16:00:00,96.05,90.92,130.48,9.0,12.65,16.97
2025-01-06 17:00:00,95.39,82.75,127.36,9.75,12.78,16.66
2025-01-06 18:00:00,91.92,79.89,121.51,8.97,15.28,15.06
2025-01-06 19:00:00,87.25,75.3,118.0,8.31,15.47,15.47
2025-01-06 20:00:00,85.62,72.81,113.04,7.91,12.85,14.56
2025-01-06 21:00:00,83.27,71.38,112.39,7.59,12.49,15.56
2025-01-06 22:00:00,80.9,70.0,114.73,7.19,11.69,14.47
2025-01-06 23:00:00,77.97,67.25,107.12,6.5,12.6,15.07
2025-01-07 00:00:00,77.1,67.34,102.91,5.97,12.13,15.18
2025-01-07 01:00:00,76.74,65.33,102.71,5.84,11.34,15.13
2025-01-07 02:00:00,77.03,64.75,102.58,5.87,11.75,14.15
2025-01-07 03:00:00,76.11,64.67,103.01,5.97,12.68,14.91
2025-01-07 04:00:00,76.87,63.63,102.86,5.97,13.09,14.5
2025-01-07 05:00:00,75.46,63.22,100.97,6.0,12.87,14.78
2025-01-07 06:00:00,77.68,65.14,101.8,5.78,11.9,14.72
2025-01-07 07:00:00,78.25,66.5,102.23,5.82,11.84,15.0
2025-01-07 08:00:00,85.23,72.68,109.17,7.4,12.13,15.0
2025-01-07 09:00:00,87.86,78.85,118.64,8.85,12.59,17.44
2025-01-07 10:00:00,88.64,87.59,130.49,9.46,13.41,18.69
2025-01-07 11:00:00,91.13,89.91,136.44,9.19,13.82,19.4
2025-01-07 12:00:00,97.96,88.14,131.82,8.78,13.48,17.56
2025-01-07 13:00:00,100.68,90.81,136.93,9.47,13.83,17.44
2025-01-07 14:00:00,95.95,89.45,144.95,9.31,21.37,16.63
2025-01-07 15:00:00,98.28,89.69,144.13,9.04,22.43,17.37
2025-01-07 16:00:00,98.42,90.78,141.53,9.18,19.12,17.38
2025-01-07 17:00:00,97.75,87.61,133.06,10.32,19.22,16.5
2025-01-07 18:00:00,92.24,79.83,125.88,8.87,18.49,15.81
2025-01-07 19:00:00,88.69,76.06,122.19,7.91,17.55,15.59
2025-01-07 20:00:00,84.7,73.49,117.35,7.34,17.33,14.97
2025-01-07 21:00:00,84.14,73.81,116.7,6.63,18.36,15.22
2025-01-07 22:00:00,80.3,71.8,113.44,5.81,15.04,15.09
2025-01-07 23:00:00,78.91,71.78,113.85,5.47,19.76,14.72
2025-01-08 00:00:00,78.47,70.84,115.9,5.65,19.05,14.88
2025-01-08 01:00:00,77.27,69.56,115.36,5.57,15.23,14.65
2025-01-08 02:00:00,77.48,69.52,112.66,5.59,12.27,14.35
2025-01-08 03:00:00,77.73,67.86,113.55,5.47,12.52,14.62
2025-01-08 04:00:00,77.36,66.3,112.07,5.56,13.38,15.07
2025-01-08 05:00:00,77.66,65.36,111.86,5.25,13.5,14.9
2025-01-08 06:00:00,78.39,66.85,110.48,5.38,12.49,14.78
2025-01-08 07:00:00,78.43,69.52,111.8,5.5,12.34,14.97
2025-01-08 08:00:00,84.28,74.92,118.96,7.12,12.24,14.94
2025-01-08 09:00:00,92.97,83.17,124.04,8.91,11.98,15.37
2025-01-08 10:00:00,95.05,93.97,129.52,10.87,12.16,16.22
2025-01-08 11:00:00,98.06,93.07,133.89,11.03,13.74,16.97
2025-01-08 12:00:00,100.12,90.78,134.15,10.25,21.96,16.44
2025-01-08 13:00:00,101.05,91.09,134.68,10.16,19.61,17.16
2025-01-08 14:00:00,105.44,93.86,139.64,10.37,19.29,17.4
2025-01-08 15:00:00,102.58,93.84,141.02,10.07,17.7,17.6
2025-01-08 16:00:00,99.22,93.74,137.81,10.87,18.41,16.03
2025-01-08 17:00:00,96.77,87.17,132.27,10.1,16.51,15.81
2025-01-08 18:00:00,93.83,79.41,126.93,9.28,13.38,14.84
2025-01-08 19:00:00,89.96,74.45,123.75,8.78,11.85,15.53
2025-01-08 20:00:00,90.66,72.72,123.44,9.06,11.77,13.91
2025-01-08 21:00:00,86.03,72.22,120.35,8.34,13.69,14.53
2025-01-08 22:00:00,84.1,72.25,118.32,7.57,14.35,14.35
2025-01-08 23:00:00,80.3,71.84,116.28,6.65,12.03,14.68
2025-01-09 00:00:00,79.86,70.17,115.54,6.16,11.45,14.25
2025-01-09 01:00:00,78.76,68.31,115.64,6.06,10.48,14.57
2025-01-09 02:00:00,78.8,65.71,115.59,5.85,11.29,14.03
2025-01-09 03:00:00,78.13,65.78,114.9,5.96,11.03,14.59
2025-01-09 04:00:00,79.53,64.78,114.94,5.69,11.27,13.84
2025-01-09 05:00:00,78.4,64.78,115.07,5.69,12.88,14.97
