Datetime,總圖書館,園藝系精密溫室,明達館,人工氣候室
2025-01-01 00:00:00,192.26,21.5,72.17,136.75
2025-01-01 01:00:00,191.72,21.06,74.82,135.96
2025-01-01 02:00:00,192.05,21.4,71.47,138.23
2025-01-01 03:00:00,190.81,21.37,73.75,137.11
2025-01-01 04:00:00,192.05,21.73,74.03,138.86
2025-01-01 05:00:00,195.28,21.9,71.96,140.22
2025-01-01 06:00:00,189.88,22.63,71.31,147.89
2025-01-01 07:00:00,192.65,23.12,75.79,196.85
2025-01-01 08:00:00,193.69,22.88,70.69,202.36
2025-01-01 09:00:00,197.47,23.78,71.71,209.66
2025-01-01 10:00:00,249.25,23.35,91.29,203.91
2025-01-01 11:00:00,227.86,24.02,108.5,203.15
2025-01-01 12:00:00,194.11,25.91,105.45,200.64
2025-01-01 13:00:00,202.59,24.63,95.89,198.98
2025-01-01 14:00:00,211.56,25.43,106.01,201.93
2025-01-01 15:00:00,248.94,26.72,80.99,206.51
2025-01-01 16:00:00,175.47,26.88,87.21,209.84
2025-01-01 17:00:00,178.92,27.43,90.43,205.16
2025-01-01 18:00:00,175.22,26.97,96.75,165.58
2025-01-01 19:00:00,171.0,28.04,80.88,160.55
2025-01-01 20:00:00,173.11,28.06,76.03,146.0
2025-01-01 21:00:00,172.2,26.78,73.77,130.99
2025-01-01 22:00:00,172.74,25.87,75.53,131.4
2025-01-01 23:00:00,169.25,23.32,75.6,132.75
2025-01-02 00:00:00,170.97,23.72,72.71,135.15
2025-01-02 01:00:00,172.09,22.65,72.2,134.1
2025-01-02 02:00:00,172.91,22.65,71.61,134.34
2025-01-02 03:00:00,171.53,22.69,72.33,134.52
2025-01-02 04:00:00,169.22,22.94,71.19,136.39
2025-01-02 05:00:00,170.7,22.62,70.06,138.24
2025-01-02 06:00:00,181.4,23.29,69.36,149.68
2025-01-02 07:00:00,317.9,24.19,71.12,197.24
2025-01-02 08:00:00,743.84,23.78,71.92,199.43
2025-01-02 09:00:00,765.47,24.25,77.46,207.08
2025-01-02 10:00:00,779.31,23.87,97.21,200.86
2025-01-02 11:00:00,785.09,26.31,110.3,185.42
2025-01-02 12:00:00,784.79,27.19,109.3,184.46
2025-01-02 13:00:00,795.59,26.81,113.24,188.74
2025-01-02 14:00:00,792.59,29.16,98.57,192.14
2025-01-02 15:00:00,794.91,29.62,95.19,202.52
2025-01-02 16:00:00,789.97,31.04,93.3,209.8
2025-01-02 17:00:00,715.0,29.99,90.36,209.91
2025-01-02 18:00:00,690.22,29.57,93.67,166.92
2025-01-02 19:00:00,689.56,29.94,92.15,158.62
2025-01-02 20:00:00,663.5,31.22,83.82,142.98
2025-01-02 21:00:00,342.91,28.87,78.96,130.18
2025-01-02 22:00:00,206.71,27.12,77.52,130.55
2025-01-02 23:00:00,192.19,23.95,77.62,131.94
2025-01-03 00:00:00,193.88,23.4,74.5,132.23
2025-01-03 01:00:00,191.47,22.12,72.39,134.15
2025-01-03 02:00:00,193.93,21.84,71.25,134.81
2025-01-03 03:00:00,191.75,21.42,71.98,134.63
2025-01-03 04:00:00,194.07,23.02,71.25,135.42
2025-01-03 05:00:00,191.06,23.1,69.9,137.41
2025-01-03 06:00:00,202.0,22.31,69.24,148.27
2025-01-03 07:00:00,312.53,22.85,70.51,193.35
2025-01-03 08:00:00,757.06,22.74,73.97,204.64
2025-01-03 09:00:00,768.03,23.88,82.05,213.35
2025-01-03 10:00:00,771.19,23.78,103.1,211.66
2025-01-03 11:00:00,778.75,23.47,107.8,211.35
2025-01-03 12:00:00,772.34,27.72,118.58,209.06
2025-01-03 13:00:00,796.35,32.56,122.39,212.53
2025-01-03 14:00:00,788.9,33.72,129.63,213.04
2025-01-03 15:00:00,786.72,32.16,93.68,210.68
2025-01-03 16:00:00,769.1,33.34,101.22,212.93
2025-01-03 17:00:00,707.59,33.66,109.79,208.57
2025-01-03 18:00:00,685.19,33.49,111.03,161.32
2025-01-03 19:00:00,685.81,32.57,111.19,160.88
2025-01-03 20:00:00,660.56,25.66,91.15,143.5
2025-01-03 21:00:00,330.0,24.59,81.58,129.06
2025-01-03 22:00:00,216.66,23.66,74.57,128.82
2025-01-03 23:00:00,189.91,22.56,75.1,130.3
2025-01-04 00:00:00,188.75,22.0,73.88,132.25
2025-01-04 01:00:00,190.84,21.68,73.43,132.37
2025-01-04 02:00:00,190.66,21.07,72.93,134.47
2025-01-04 03:00:00,188.75,21.16,73.13,134.96
2025-01-04 04:00:00,191.53,21.5,71.7,134.59
2025-01-04 05:00:00,190.93,21.27,71.54,138.02
2025-01-04 06:00:00,188.44,21.78,70.24,143.78
